t_ms,raw,filtered
11607,1222100,1222044.000
11619,1221614,1221979.500
11632,1221928,1221971.875
11644,1222456,1222044.500
11657,1221955,1222031.125
11669,1221475,1221947.750
11681,1222030,1221960.125
11694,1222509,1222042.500
11706,1221886,1222019.000
11718,1221384,1221923.750
11731,1222045,1221942.000
11743,1222281,1221992.875
11755,1221790,1221962.500
11768,1221465,1221887.875
11780,1222286,1221947.625
11792,1222313,1222002.500
11805,1221741,1221963.250
11817,1221479,1221890.625
11829,1222410,1221968.625
11842,1222173,1221999.375
11854,1221678,1221951.250
11866,1221607,1221899.625
11879,1222386,1221972.625
11891,1222019,1221979.625
11903,1221511,1221909.375
11916,1221653,1221871.000
11928,1222382,1221947.625
11940,1221942,1221946.750
11953,1221363,1221859.250
11965,1221805,1221851.125
11977,1222406,1221934.375
11990,1221904,1221929.875
12002,1221329,1221839.750
12014,1221911,1221850.500
12027,1222413,1221934.875
12039,1221804,1221915.250
12051,1221429,1221842.375
12064,1222082,1221878.375
12076,1222238,1221932.375
12088,1221785,1221910.375
12101,1221404,1221834.500
12113,1222189,1221887.750
12125,1222156,1221928.000
12138,1221537,1221869.375
12150,1221281,1221781.125
12162,1222281,1221856.125
12175,1222042,1221884.000
12187,1221549,1221833.750
12199,1221477,1221780.250
12212,1222317,1221860.750
12224,1222000,1221881.750
12236,1221436,1221814.875
12249,1221610,1221784.250
12261,1222269,1221857.000
12273,1221804,1221849.125
12286,1221409,1221783.125
12298,1221732,1221775.500
12310,1222206,1221840.125
12323,1221755,1221827.375
